Sentence	Length	Label	BOWPrediction	FloatSensitivity	SubspansPos	SubspansNeut	SubspansNeg	RobertaPrediction
it 's a charming and often affecting journey .	9	1	1	 0.937248185033968	8	9	0	1
unflinchingly bleak and desperate	4	0	0	 0.5957257456548484	0	1	6	0
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .	20	1	1	 1.0970091074642716	19	20	0	1
the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .	20	1	1	 1.1776332672835468	4	34	1	1
it 's slow -- very , very slow .	9	0	0	 1.4347660175273356	0	7	10	0
although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .	21	1	1	 0.9723500309106937	18	23	0	1
a sometimes tedious film .	5	0	0	 1.2648937699833884	0	4	5	0
or doing last year 's taxes with your ex-wife .	10	0	0	 1.5014241039380931	0	16	3	0
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	20	1	1	 1.0927478320419284	15	24	0	1
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .	33	0	0	 0.6459329404040981	1	47	17	0
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	16	1	1	 0.8221656056172256	12	19	0	1
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .	30	0	1	 1.2019467864644657	3	46	10	0
... the film suffers from a lack of humor ( something needed to balance out the violence ) ...	19	0	0	 1.498010456512792	4	18	15	0
we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity .	23	1	1	 2.68859370139926	4	34	7	0
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .	25	0	0	 1.2260443507559822	5	32	12	0
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .	20	1	1	 0.7384248971735586	20	18	1	1
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .	18	1	1	 0.9006058871516487	4	29	2	1
audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .	32	1	1	 1.033833412560885	26	37	0	1
... the movie is just a plain old monster .	10	0	0	 1.6147149353331103	0	14	5	0
in its best moments , resembles a bad high school production of grease , without benefit of song .	19	0	0	 1.0054537854688668	6	20	11	0
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .	32	0	1	 2.0637397211531683	11	39	13	0
the iditarod lasts for days - this just felt like it did .	13	0	1	 3.3763980393934165	2	21	2	0
holden caulfield did it better .	6	0	1	 2.65472769745519	1	8	2	0
a delectable and intriguing thriller filled with surprises , read my lips is an original .	16	1	1	 0.7464407670668973	14	16	1	1
seldom has a movie so closely matched the spirit of a man and his work .	16	1	1	 0.8884761526651643	8	23	0	1
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .	27	0	0	 1.8261691810525102	8	33	12	0
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .	28	0	0	 1.4232673046183084	2	47	6	0
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .	23	1	1	 0.7422938723074336	11	34	0	1
it 's a cookie-cutter movie , a cut-and-paste job .	10	0	0	 1.6119289878378138	0	11	8	0
i had to look away - this was god awful .	11	0	0	 1.298768968260042	0	13	8	0
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .	28	1	1	 0.7941002827219706	19	36	0	1
... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .	25	0	1	 1.123875244350384	5	33	11	0
a gorgeous , witty , seductive movie .	8	1	1	 0.45744538298114445	8	7	0	1
if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .	33	0	1	 1.6090318554889935	5	52	8	0
it does n't believe in itself , it has no sense of humor ... it 's just plain bored .	20	0	0	 0.9137493516483045	1	22	16	0
a sequence of ridiculous shoot - 'em - up scenes .	11	0	0	 1.8419046116892968	0	14	7	0
the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	26	1	1	 1.2762191845239075	15	34	2	1
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands .	27	0	1	 2.0205515638194744	8	37	8	0
as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .	23	1	1	 1.0529104092956474	17	26	2	1
escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .	16	1	1	 0.8594530985271381	10	20	1	1
